scenario_id,baseline_target_id,candidate_present,internally_stable,scenario_target_id,total_score,rank,rank_percentile,centroid_shift_m,geometry_coverage,stable_geometry_coverage,geometry_present_25,geometry_present_50,stable_geometry_present_25
baseline,T051,True,False,T051,0.4804334868151205,21.0,0.6551724137931034,0.0,1.0,0.0,True,True,False
baseline,T052,True,False,T052,0.4559657262164163,42.0,0.2931034482758621,0.0,1.0,0.0,True,True,False
baseline,T053,True,True,T053,0.5292568118859249,4.0,0.9482758620689655,0.0,1.0,1.0,True,True,True
baseline,T054,True,False,T054,0.4784651114013848,24.0,0.603448275862069,0.0,1.0,0.0,True,True,False
baseline,T055,True,False,T055,0.4462633538164318,50.0,0.15517241379310343,0.0,1.0,0.0,True,True,False
baseline,T056,True,False,T056,0.4990702811231732,14.0,0.7758620689655172,0.0,1.0,0.0,True,True,False
baseline,T057,True,False,T057,0.4759400698537117,25.0,0.5862068965517242,0.0,1.0,0.0,True,True,False
baseline,T058,True,False,T058,0.4665648597070382,29.0,0.5172413793103448,0.0,1.0,0.0,True,True,False
baseline,T059,True,False,T059,0.4634073017706811,32.0,0.4655172413793104,0.0,1.0,0.0,True,True,False
adjacency_tight,T001,True,False,T001,0.4789502917909561,23.0,0.6206896551724138,0.0,1.0,0.0,True,True,False
adjacency_tight,T002,True,True,T002,0.5332391142534804,3.0,0.9655172413793104,0.0,1.0,1.0,True,True,True
adjacency_tight,T003,True,True,T003,0.525313392090076,5.0,0.9310344827586207,0.0,1.0,1.0,True,True,True
adjacency_tight,T004,True,False,T004,0.4432701702505778,56.0,0.051724137931034475,0.0,1.0,0.0,True,True,False
adjacency_tight,T005,True,False,T005,0.4632120997826603,34.0,0.43103448275862066,0.0,1.0,0.0,True,True,False
adjacency_tight,T006,True,False,T006,0.4574681742039177,40.0,0.3275862068965517,0.0,1.0,0.0,True,True,False
adjacency_tight,T007,True,False,T007,0.4558944792691649,43.0,0.27586206896551724,0.0,1.0,0.0,True,True,False
adjacency_tight,T008,True,False,T008,0.4681537856693692,27.0,0.5517241379310345,0.0,1.0,0.0,True,True,False
adjacency_tight,T009,True,False,T009,0.4633166527652139,33.0,0.4482758620689655,0.0,1.0,0.0,True,True,False
adjacency_tight,T010,True,False,T010,0.4612480862652602,37.0,0.3793103448275862,0.0,1.0,0.0,True,True,False
adjacency_tight,T011,True,False,T011,0.4458121203915906,52.0,0.12068965517241381,0.0,1.0,0.0,True,True,False
adjacency_tight,T012,True,False,T012,0.473695865723631,26.0,0.5689655172413793,0.0,1.0,0.0,True,True,False
adjacency_tight,T013,True,False,T013,0.4427419402137525,57.0,0.03448275862068961,0.0,1.0,0.0,True,True,False
adjacency_tight,T014,True,False,T014,0.44180546879842,59.0,0.0,0.0,1.0,0.0,True,True,False
adjacency_tight,T015,True,True,T015,0.5037460287574079,11.0,0.8275862068965517,0.0,1.0,1.0,True,True,True
adjacency_tight,T016,True,False,T016,0.4589598166192085,39.0,0.3448275862068966,0.0,1.0,0.0,True,True,False
adjacency_tight,T017,True,False,T017,0.4625632816411688,35.0,0.4137931034482759,0.0,1.0,0.0,True,True,False
adjacency_tight,T018,True,False,T018,0.4657184883575986,31.0,0.48275862068965514,0.0,1.0,0.0,True,True,False
adjacency_tight,T019,True,False,T019,0.4434370877585274,55.0,0.06896551724137934,0.0,1.0,0.0,True,True,False
adjacency_tight,T020,True,False,T020,0.4827712902010513,20.0,0.6724137931034483,0.0,1.0,0.0,True,True,False
adjacency_tight,T021,True,False,T021,0.4658482584622155,30.0,0.5,0.0,1.0,0.0,True,True,False
adjacency_tight,T022,True,False,T022,0.4798315274501898,22.0,0.6379310344827587,0.0,1.0,0.0,True,True,False
adjacency_tight,T023,True,False,T023,0.4424827631126301,58.0,0.017241379310344862,0.0,1.0,0.0,True,True,False
adjacency_tight,T024,True,False,T024,0.4518010785681904,47.0,0.2068965517241379,0.0,1.0,0.0,True,True,False
adjacency_tight,T025,True,False,T025,0.4593694302789482,38.0,0.3620689655172413,0.0,1.0,0.0,True,True,False
adjacency_tight,T026,True,False,T026,0.5027259204371614,12.0,0.8103448275862069,0.0,1.0,0.0,True,True,False
adjacency_tight,T027,True,False,T027,0.4930666229418441,18.0,0.7068965517241379,0.0,1.0,0.0,True,True,False
adjacency_tight,T028,True,False,T028,0.4455201239414179,53.0,0.10344827586206895,0.0,1.0,0.0,True,True,False
adjacency_tight,T029,True,False,T029,0.4668410889376508,28.0,0.5344827586206897,0.0,1.0,0.0,True,True,False
adjacency_tight,T030,True,False,T030,0.4903312544698785,19.0,0.6896551724137931,0.0,1.0,0.0,True,True,False
adjacency_tight,T031,True,False,T031,0.4617116781255723,36.0,0.39655172413793105,0.0,1.0,0.0,True,True,False
adjacency_tight,T032,True,True,T032,0.5230023968254548,6.0,0.9137931034482758,0.0,1.0,1.0,True,True,True
adjacency_tight,T033,True,False,T033,0.4954914973470201,16.0,0.7413793103448276,0.0,1.0,0.0,True,True,False
adjacency_tight,T034,True,False,T034,0.4571475060222483,41.0,0.31034482758620685,0.0,1.0,0.0,True,True,False
adjacency_tight,T035,True,False,T035,0.4453375699831221,54.0,0.08620689655172409,0.0,1.0,0.0,True,True,False
adjacency_tight,T036,True,True,T036,0.514262097832801,8.0,0.8793103448275862,0.0,1.0,1.0,True,True,True
adjacency_tight,T037,True,False,T037,0.4480758958602744,49.0,0.1724137931034483,0.0,1.0,0.0,True,True,False
adjacency_tight,T038,True,True,T038,0.5487129577207815,1.0,1.0,0.0,1.0,1.0,True,True,True
adjacency_tight,T039,True,True,T039,0.5220964335157148,7.0,0.896551724137931,0.0,1.0,1.0,True,True,True
adjacency_tight,T040,True,False,T040,0.4534910019793394,44.0,0.2586206896551724,0.0,1.0,0.0,True,True,False
adjacency_tight,T041,True,False,T041,0.4461531321279642,51.0,0.13793103448275867,0.0,1.0,0.0,True,True,False
adjacency_tight,T042,True,False,T042,0.5005330819755696,13.0,0.7931034482758621,0.0,1.0,0.0,True,True,False
adjacency_tight,T043,True,False,T043,0.5128273678385169,9.0,0.8620689655172413,0.0,1.0,0.0,True,True,False
adjacency_tight,T044,True,False,T044,0.4943718634340491,17.0,0.7241379310344828,0.0,1.0,0.0,True,True,False
adjacency_tight,T045,True,False,T045,0.4506776393358284,48.0,0.18965517241379315,0.0,1.0,0.0,True,True,False
adjacency_tight,T046,True,False,T046,0.5040431804190943,10.0,0.8448275862068966,0.0,1.0,0.0,True,True,False
adjacency_tight,T047,True,False,T047,0.4962564852167774,15.0,0.7586206896551724,0.0,1.0,0.0,True,True,False
adjacency_tight,T048,True,True,T048,0.5472932900986838,2.0,0.9827586206896551,0.0,1.0,1.0,True,True,True
adjacency_tight,T049,True,False,T049,0.452230014115589,45.0,0.24137931034482762,0.0,1.0,0.0,True,True,False
adjacency_tight,T050,True,False,T050,0.4518850693697288,46.0,0.22413793103448276,0.0,1.0,0.0,True,True,False
adjacency_tight,T051,True,False,T051,0.4804334868151205,21.0,0.6551724137931034,0.0,1.0,0.0,True,True,False
adjacency_tight,T052,True,False,T052,0.4559657262164163,42.0,0.2931034482758621,0.0,1.0,0.0,True,True,False
adjacency_tight,T053,True,True,T053,0.5292568118859249,4.0,0.9482758620689655,0.0,1.0,1.0,True,True,True
adjacency_tight,T054,True,False,T054,0.4784651114013848,24.0,0.603448275862069,0.0,1.0,0.0,True,True,False
adjacency_tight,T055,True,False,T055,0.4462633538164318,50.0,0.15517241379310343,0.0,1.0,0.0,True,True,False
adjacency_tight,T056,True,False,T056,0.4990702811231732,14.0,0.7758620689655172,0.0,1.0,0.0,True,True,False
adjacency_tight,T057,True,False,T057,0.4759400698537117,25.0,0.5862068965517242,0.0,1.0,0.0,True,True,False
adjacency_tight,T058,True,False,T058,0.4665648597070382,29.0,0.5172413793103448,0.0,1.0,0.0,True,True,False
adjacency_tight,T059,True,False,T059,0.4634073017706811,32.0,0.4655172413793104,0.0,1.0,0.0,True,True,False
adjacency_loose,T001,True,False,T001,0.4789502917909561,23.0,0.6206896551724138,0.0,1.0,0.0,True,True,False
adjacency_loose,T002,True,True,T002,0.5332391142534804,3.0,0.9655172413793104,0.0,1.0,1.0,True,True,True
adjacency_loose,T003,True,True,T003,0.525313392090076,5.0,0.9310344827586207,0.0,1.0,1.0,True,True,True
adjacency_loose,T004,True,False,T004,0.4432701702505778,56.0,0.051724137931034475,0.0,1.0,0.0,True,True,False
adjacency_loose,T005,True,False,T005,0.4632120997826603,34.0,0.43103448275862066,0.0,1.0,0.0,True,True,False
adjacency_loose,T006,True,False,T006,0.4574681742039177,40.0,0.3275862068965517,0.0,1.0,0.0,True,True,False
adjacency_loose,T007,True,False,T007,0.4558944792691649,43.0,0.27586206896551724,0.0,1.0,0.0,True,True,False
adjacency_loose,T008,True,False,T008,0.4681537856693692,27.0,0.5517241379310345,0.0,1.0,0.0,True,True,False
adjacency_loose,T009,True,False,T009,0.4633166527652139,33.0,0.4482758620689655,0.0,1.0,0.0,True,True,False
adjacency_loose,T010,True,False,T010,0.4612480862652602,37.0,0.3793103448275862,0.0,1.0,0.0,True,True,False
adjacency_loose,T011,True,False,T011,0.4458121203915906,52.0,0.12068965517241381,0.0,1.0,0.0,True,True,False
adjacency_loose,T012,True,False,T012,0.473695865723631,26.0,0.5689655172413793,0.0,1.0,0.0,True,True,False
adjacency_loose,T013,True,False,T013,0.4427419402137525,57.0,0.03448275862068961,0.0,1.0,0.0,True,True,False
adjacency_loose,T014,True,False,T014,0.44180546879842,59.0,0.0,0.0,1.0,0.0,True,True,False
adjacency_loose,T015,True,True,T015,0.5037460287574079,11.0,0.8275862068965517,0.0,1.0,1.0,True,True,True
adjacency_loose,T016,True,False,T016,0.4589598166192085,39.0,0.3448275862068966,0.0,1.0,0.0,True,True,False
adjacency_loose,T017,True,False,T017,0.4625632816411688,35.0,0.4137931034482759,0.0,1.0,0.0,True,True,False
adjacency_loose,T018,True,False,T018,0.4657184883575986,31.0,0.48275862068965514,0.0,1.0,0.0,True,True,False
adjacency_loose,T019,True,False,T019,0.4434370877585274,55.0,0.06896551724137934,0.0,1.0,0.0,True,True,False
adjacency_loose,T020,True,False,T020,0.4827712902010513,20.0,0.6724137931034483,0.0,1.0,0.0,True,True,False
adjacency_loose,T021,True,False,T021,0.4658482584622155,30.0,0.5,0.0,1.0,0.0,True,True,False
adjacency_loose,T022,True,False,T022,0.4798315274501898,22.0,0.6379310344827587,0.0,1.0,0.0,True,True,False
adjacency_loose,T023,True,False,T023,0.4424827631126301,58.0,0.017241379310344862,0.0,1.0,0.0,True,True,False
adjacency_loose,T024,True,False,T024,0.4518010785681904,47.0,0.2068965517241379,0.0,1.0,0.0,True,True,False
adjacency_loose,T025,True,False,T025,0.4593694302789482,38.0,0.3620689655172413,0.0,1.0,0.0,True,True,False
adjacency_loose,T026,True,False,T026,0.5027259204371614,12.0,0.8103448275862069,0.0,1.0,0.0,True,True,False
adjacency_loose,T027,True,False,T027,0.4930666229418441,18.0,0.7068965517241379,0.0,1.0,0.0,True,True,False
adjacency_loose,T028,True,False,T028,0.4455201239414179,53.0,0.10344827586206895,0.0,1.0,0.0,True,True,False
adjacency_loose,T029,True,False,T029,0.4668410889376508,28.0,0.5344827586206897,0.0,1.0,0.0,True,True,False
adjacency_loose,T030,True,False,T030,0.4903312544698785,19.0,0.6896551724137931,0.0,1.0,0.0,True,True,False
adjacency_loose,T031,True,False,T031,0.4617116781255723,36.0,0.39655172413793105,0.0,1.0,0.0,True,True,False
adjacency_loose,T032,True,True,T032,0.5230023968254548,6.0,0.9137931034482758,0.0,1.0,1.0,True,True,True
adjacency_loose,T033,True,False,T033,0.4954914973470201,16.0,0.7413793103448276,0.0,1.0,0.0,True,True,False
adjacency_loose,T034,True,False,T034,0.4571475060222483,41.0,0.31034482758620685,0.0,1.0,0.0,True,True,False
adjacency_loose,T035,True,False,T035,0.4453375699831221,54.0,0.08620689655172409,0.0,1.0,0.0,True,True,False
adjacency_loose,T036,True,True,T036,0.514262097832801,8.0,0.8793103448275862,0.0,1.0,1.0,True,True,True
adjacency_loose,T037,True,False,T037,0.4480758958602744,49.0,0.1724137931034483,0.0,1.0,0.0,True,True,False
adjacency_loose,T038,True,True,T038,0.5487129577207815,1.0,1.0,0.0,1.0,1.0,True,True,True
adjacency_loose,T039,True,True,T039,0.5220964335157148,7.0,0.896551724137931,0.0,1.0,1.0,True,True,True
adjacency_loose,T040,True,False,T040,0.4534910019793394,44.0,0.2586206896551724,0.0,1.0,0.0,True,True,False
adjacency_loose,T041,True,False,T041,0.4461531321279642,51.0,0.13793103448275867,0.0,1.0,0.0,True,True,False
